==============================================================================================================
                                              LNO-AFQMC Results                                               
==============================================================================================================
Frag      LAS Center  LAS_SIZE      E(MP2)     E(CCSD)    E(AFQMC)     Error   t(CCSD)  t(AFQMC)
--------------------------------------------------------------------------------------------------------------
   1               C       116  -0.11259733  -0.11694068   -0.122289  0.000088     28.66    414.41
   2               C       116  -0.11259477  -0.11693733   -0.122229  0.000091     28.58    406.16
   3               C       139  -0.11684409  -0.11756017   -0.123590  0.000118     48.28    733.22
   4               C       157  -0.12056866  -0.12002598   -0.126447  0.000104     89.59   1232.16
   5               C       157  -0.12058547  -0.12004244   -0.126467  0.000088     89.18   1243.02
   6               C       140  -0.11703861  -0.11768903   -0.123811  0.000085     56.75    815.91
   7               C       156  -0.12044521  -0.11992751   -0.126336  0.000116     85.76   1274.85
   8               C       148  -0.11645270  -0.11900753   -0.125013  0.000088     65.45   1021.73
   9               C       141  -0.11707948  -0.11771590   -0.123817  0.000118     57.31    780.34
  10               C       157  -0.12056671  -0.12002611   -0.126459  0.000108     88.71   1229.26
  11               C       116  -0.11259054  -0.11692710   -0.122466  0.000081     26.62    406.56
  12               C       116  -0.11259726  -0.11693591   -0.122460  0.000108     26.88    405.82
  13               C       139  -0.11683552  -0.11754636   -0.123515  0.000079     47.17    740.27
  14               C       157  -0.12049392  -0.11995740   -0.126277  0.000082     89.32   1254.88
  15               C       156  -0.12035372  -0.11984589   -0.126322  0.000101     85.38   1277.89
  16               C       167  -0.12036939  -0.11971873   -0.126256  0.000107    101.53   1704.54
  17               C       167  -0.12045753  -0.11979884   -0.126132  0.000078    101.48   1701.00
  18               C       155  -0.12021605  -0.11976572   -0.126047  0.000094     67.12   1225.31
  19               C       167  -0.12040400  -0.11974776   -0.126062  0.000078    101.58   1699.89
  20               C       167  -0.12033147  -0.11968379   -0.125978  0.000085    101.45   1701.19
  21               C       167  -0.12037446  -0.11972182   -0.126076  0.000086    101.80   1699.62
  22               C       167  -0.12038187  -0.11972697   -0.125968  0.000076    101.38   1708.88
  23               C       157  -0.12045842  -0.11992546   -0.126314  0.000087     89.39   1232.82
  24               C       157  -0.12054302  -0.12000107   -0.126843  0.000132     89.50   1233.11
  25               C       155  -0.12023822  -0.11978540   -0.126237  0.000110     67.63   1220.18
  26               C       148  -0.11642767  -0.11898320   -0.125111  0.000134     67.16   1066.35
  27               C       141  -0.11704813  -0.11768785   -0.123873  0.000118     57.42    781.17
  28               C       140  -0.11705835  -0.11770158   -0.123706  0.000093     55.43    776.94
  29               C       148  -0.11642743  -0.11898447   -0.125160  0.000124     65.50   1038.53
  30               C       140  -0.11703784  -0.11769527   -0.123802  0.000090     55.75    772.55
  31               C       157  -0.12051630  -0.11997697   -0.126198  0.000121     88.99   1233.12
  32               C       155  -0.12016209  -0.11971280   -0.126012  0.000077     67.36   1221.70
  33               C       157  -0.12053016  -0.11998850   -0.126569  0.000094     90.05   1276.53
  34               C       116  -0.11257707  -0.11691682   -0.122300  0.000098     27.15    407.70
  35               C       116  -0.11257563  -0.11691583   -0.122330  0.000104     27.74    413.35
  36               C       139  -0.11682402  -0.11753450   -0.123714  0.000086     48.52    732.89
  37               C       116  -0.11254853  -0.11687859   -0.122253  0.000088     27.36    408.85
  38               C       116  -0.11261729  -0.11693765   -0.122214  0.000073     27.67    406.54
  39               C       148  -0.11642004  -0.11897277   -0.125009  0.000092     65.04   1031.20
  40               C       141  -0.11704257  -0.11768328   -0.123803  0.000101     57.43    787.59
  41               C       157  -0.12052805  -0.11998747   -0.126391  0.000108     89.33   1238.56
  42               C       157  -0.12049620  -0.11995837   -0.126310  0.000082     89.50   1246.83
  43               C       155  -0.12015358  -0.11971024   -0.126138  0.000119     67.57   1216.07
  44               C       157  -0.12048010  -0.11994669   -0.126394  0.000106   5299.47   1309.33
